avg_acc,epoch,task,task_num,test_acc,test_loss
,3.0,,1.0,0.945,0.19856240022927524
94.5,,0.0,,,
,6.0,,1.0,0.94,0.20636519419029356
,6.0,,2.0,0.89,0.32431598417460916
91.5,,1.0,,,
,9.0,,1.0,0.94,0.20398408226668835
,9.0,,2.0,0.9,0.3170445431023836
,9.0,,3.0,0.9425,0.17798080053180457
92.75,,2.0,,,
,12.0,,1.0,0.9475,0.20307700388133526
,12.0,,2.0,0.9,0.3280797049403191
,12.0,,3.0,0.935,0.2049935632571578
,12.0,,4.0,0.9275,0.25352882415056227
92.75,,3.0,,,
,15.0,,1.0,0.94,0.23401738997548818
,15.0,,2.0,0.895,0.34337427355349065
,15.0,,3.0,0.945,0.18318017076700926
,15.0,,4.0,0.9225,0.26740949787199497
,15.0,,5.0,0.9325,0.20047288782894612
92.7,,4.0,,,
,18.0,,1.0,0.945,0.22479314770549536
,18.0,,2.0,0.8975,0.34580494116991756
,18.0,,3.0,0.9325,0.22413889363408088
,18.0,,4.0,0.9225,0.2376022230833769
,18.0,,5.0,0.9275,0.21873375430703162
,18.0,,6.0,0.945,0.1752996603399515
92.83333333333333,,5.0,,,
,21.0,,1.0,0.935,0.23596490312367677
,21.0,,2.0,0.9,0.35195041701197627
,21.0,,3.0,0.9325,0.2057292991131544
,21.0,,4.0,0.93,0.23952266097068786
,21.0,,5.0,0.9225,0.22440338157117368
,21.0,,6.0,0.9275,0.22178573459386824
,21.0,,7.0,0.9375,0.25050692319869994
92.64285714285714,,6.0,,,
,24.0,,1.0,0.9425,0.21479278437793256
,24.0,,2.0,0.905,0.3385166354477406
,24.0,,3.0,0.93,0.20711780160665513
,24.0,,4.0,0.935,0.22866931542754174
,24.0,,5.0,0.9375,0.20454880774021147
,24.0,,6.0,0.93,0.22927186537533997
,24.0,,7.0,0.9425,0.21459325421601533
,24.0,,8.0,0.9275,0.25019288960844277
93.125,,7.0,,,
,27.0,,1.0,0.94,0.23361388996243476
,27.0,,2.0,0.8975,0.33244822271168234
,27.0,,3.0,0.9325,0.22405396439135075
,27.0,,4.0,0.9275,0.25265227280557156
,27.0,,5.0,0.925,0.22219398856163025
,27.0,,6.0,0.9275,0.22910711579024792
,27.0,,7.0,0.94,0.20257586475461722
,27.0,,8.0,0.9225,0.25269061684608457
,27.0,,9.0,0.9425,0.20597700837999583
92.83333333333333,,8.0,,,
,30.0,,1.0,0.94,0.2458561711013317
,30.0,,2.0,0.9025,0.3459058855846524
,30.0,,3.0,0.935,0.23363680265843867
,30.0,,4.0,0.9175,0.2838012520968914
,30.0,,5.0,0.9175,0.2272406033426523
,30.0,,6.0,0.9225,0.21401226766407488
,30.0,,7.0,0.9425,0.21660933941602706
,30.0,,8.0,0.93,0.2527633749693632
,30.0,,9.0,0.9375,0.20773322574794292
,30.0,,10.0,0.945,0.1669600420445204
92.89999999999999,,9.0,,,
,33.0,,1.0,0.9375,0.24906041983515023
,33.0,,2.0,0.915,0.3112105293571949
,33.0,,3.0,0.9225,0.25086406484246254
,33.0,,4.0,0.9225,0.2584234667569399
,33.0,,5.0,0.92,0.23168593294918538
,33.0,,6.0,0.92,0.25424066729843614
,33.0,,7.0,0.9425,0.20957682613283396
,33.0,,8.0,0.915,0.27449345842003825
,33.0,,9.0,0.935,0.21892102845013142
,33.0,,10.0,0.9275,0.19339624390006066
,33.0,,11.0,0.9225,0.2433829691261053
92.54545454545455,,10.0,,,
,36.0,,1.0,0.93,0.24319027110934258
,36.0,,2.0,0.91,0.30749881841242316
,36.0,,3.0,0.9325,0.23169473983347416
,36.0,,4.0,0.9225,0.2642056255042553
,36.0,,5.0,0.925,0.21969844125211238
,36.0,,6.0,0.9125,0.2679299734532833
,36.0,,7.0,0.9375,0.22505659379065038
,36.0,,8.0,0.9225,0.2699972603097558
,36.0,,9.0,0.935,0.21530989777296783
,36.0,,10.0,0.9225,0.2093038284778595
,36.0,,11.0,0.925,0.2276354096084833
,36.0,,12.0,0.9025,0.3132327063381672
92.3125,,11.0,,,
,39.0,,1.0,0.9375,0.23736523419618608
,39.0,,2.0,0.92,0.28345306776463985
,39.0,,3.0,0.93,0.23749112524092197
,39.0,,4.0,0.92,0.2774911899864674
,39.0,,5.0,0.915,0.25573574714362624
,39.0,,6.0,0.9425,0.2045029267668724
,39.0,,7.0,0.9175,0.27348942201584575
,39.0,,8.0,0.8925,0.3201517006009817
,39.0,,9.0,0.9225,0.2521414504945278
,39.0,,10.0,0.93,0.20537590712308884
,39.0,,11.0,0.915,0.22998270265758036
,39.0,,12.0,0.9175,0.26017104484140874
,39.0,,13.0,0.8725,0.3152824926376343
91.78846153846153,,12.0,,,
,42.0,,1.0,0.94,0.23150763511657715
,42.0,,2.0,0.9175,0.27573959700763223
,42.0,,3.0,0.93,0.23233327016234398
,42.0,,4.0,0.925,0.25462450601160524
,42.0,,5.0,0.925,0.2278802692145109
,42.0,,6.0,0.93,0.2078735139220953
,42.0,,7.0,0.9275,0.24974189449101686
,42.0,,8.0,0.905,0.2897766633331776
,42.0,,9.0,0.93,0.22173192970454692
,42.0,,10.0,0.93,0.20511386647820473
,42.0,,11.0,0.93,0.19135221309959888
,42.0,,12.0,0.92,0.23985899098217486
,42.0,,13.0,0.905,0.2576678468286991
,42.0,,14.0,0.9075,0.3574839971959591
92.30357142857143,,13.0,,,
,45.0,,1.0,0.9275,0.2514266215264797
,45.0,,2.0,0.905,0.30403250619769095
,45.0,,3.0,0.9325,0.21674380205571653
,45.0,,4.0,0.92,0.25439330354332923
,45.0,,5.0,0.9325,0.21073801964521408
,45.0,,6.0,0.9325,0.22265311531722545
,45.0,,7.0,0.9325,0.23808710008859635
,45.0,,8.0,0.915,0.27412310540676116
,45.0,,9.0,0.9325,0.20967016395181418
,45.0,,10.0,0.9275,0.2115267136693001
,45.0,,11.0,0.94,0.1767076252400875
,45.0,,12.0,0.91,0.27181669309735296
,45.0,,13.0,0.8975,0.2543752926588059
,45.0,,14.0,0.9,0.3467841877788305
,45.0,,15.0,0.8975,0.33229417718946935
92.01666666666665,,14.0,,,
,48.0,,1.0,0.9275,0.2360632200539112
,48.0,,2.0,0.9075,0.3112660951912403
,48.0,,3.0,0.9225,0.23808471083641053
,48.0,,4.0,0.925,0.2477963752299547
,48.0,,5.0,0.935,0.2094103714823723
,48.0,,6.0,0.9275,0.23711747109889983
,48.0,,7.0,0.9325,0.22804307602345944
,48.0,,8.0,0.9,0.2803290189802647
,48.0,,9.0,0.9225,0.21208655655384065
,48.0,,10.0,0.9225,0.22985380075871945
,48.0,,11.0,0.9375,0.1828159426897764
,48.0,,12.0,0.92,0.24995937563478945
,48.0,,13.0,0.9125,0.26041919738054276
,48.0,,14.0,0.9,0.31958154648542403
,48.0,,15.0,0.905,0.2999050365388393
,48.0,,16.0,0.8525,0.3647121715545654
91.56249999999999,,15.0,,,
